,tokens,critical,surprisals,island
0,書,0,4.402589,non-island
0,い,0,3.098066,non-island
0,た,0,1.0655313,non-island
0,エ,0,8.526271,non-island
0,ッ,0,3.6131675,non-island
0,セ,0,0.027427604,non-island
0,ー,0,2.039104,non-island
0,が,0,7.1673493,non-island
0,権,0,3.2282174,non-island
0,威,0,0.42659053033266700,non-island
0,あ,0,1.8053523,non-island
0,る,0,0.00207002,non-island
0,文,0,2.123164725,non-island
0,学,0,1.05690657,non-island
0,賞,0,0.8573768205,non-island
0,を,0,0.873016,non-island
0,受,0,0.23093211000000000,non-island
0,賞,0,0.0025078863960000000,non-island
0,し,0,0.5576191,non-island
0,た,0,0.324231,non-island
0,の,0,3.558787,non-island
0,で,0,0.9495722,non-island
0,女,1,10.419369,non-island
0,性,1,0.48706457781465,non-island
0,議,1,3.0601426000000000,non-island
0,員,1,0.0216590979926,non-island
0,は,1,1.9943653,non-island
0,感,1,2.03270055,non-island
0,謝,1,1.1299505996666700,non-island
0,を,1,3.051793,non-island
0,述,1,0.63558221085,non-island
0,べ,1,0.00018070322850000000,non-island
0,た,1,0.5187903,non-island
0,。,1,0.6383059,non-island
1,発,0,4.1016865000000000,non-island
1,表,0,1.33392588,non-island
1,し,0,3.5440624,non-island
1,た,0,0.5866336,non-island
1,論,0,1.5682639113000000,non-island
1,文,0,0.0018893258246000000,non-island
1,が,0,5.093925,non-island
1,世,0,3.225435715,non-island
1,界,0,0.0075362941515,non-island
1,中,0,2.0881994,non-island
1,の,0,3.9017348,non-island
1,学,0,0.5273241052200000,non-island
1,者,0,1.5217656,non-island
1,か,0,0.00050350063,non-island
1,ら,0,1.5051382,non-island
1,注,0,0.00050246337,non-island
1,目,0,0.66667875,non-island
1,さ,0,0.0013694725,non-island
1,れ,0,2.393362,non-island
1,た,0,3.7812352,non-island
1,の,0,0.6361564,non-island
1,で,0,8.633864,non-island
1,教,1,0.31393558,non-island
1,授,1,0.9942566187633330,non-island
1,は,1,5.374625,non-island
1,多,1,1.10871978,non-island
1,忙,1,0.526438949286,non-island
1,を,1,0.027138796,non-island
1,極,1,4.2433903E-06,non-island
1,め,1,8.67442556E-05,non-island
1,た,1,1.685778,non-island
1,。,1,0.4577839,non-island
2,購,0,4.4511043,non-island
2,入,0,0.5906286993700000,non-island
2,し,0,2.5672534,non-island
2,た,0,0.5071753,non-island
2,絵,0,2.8049315,non-island
2,画,0,1.346953527515,non-island
2,が,0,3.8507607,non-island
2,ピ,0,4.35108125,non-island
2,カ,0,0.81572795,non-island
2,ソ,0,5.0508065,non-island
2,の,0,0.56991786,non-island
2,作,0,2.589475,non-island
2,品,0,0.0023155570269333300,non-island
2,だ,0,0.7250893,non-island
2,っ,0,0.33000252,non-island
2,た,0,0.0025078664,non-island
2,の,0,2.3270688,non-island
2,で,0,0.1753313,non-island
2,美,1,2.612657649,non-island
2,術,1,0.013818295,non-island
2,館,1,0.07399777362544,non-island
2,長,1,3.8628182013448300,non-island
2,は,1,5.9846797,non-island
2,展,1,3.3930333133333300,non-island
2,示,1,0.12418652772633300,non-island
2,会,1,0.7895587075,non-island
2,を,1,1.2677753,non-island
2,計,1,1.517704922,non-island
2,画,1,0.00136628585,non-island
2,し,1,0.09837873,non-island
2,た,1,0.7268055,non-island
2,。,1,0.5118638,non-island
3,演,0,4.4478667,non-island
3,じ,0,3.306871132,non-island
3,た,0,1.8383996,non-island
3,芝,0,2.4265738,non-island
3,居,0,0.07850085916666670,non-island
3,が,0,3.4299707,non-island
3,連,0,4.6420828500000000,non-island
3,日,0,1.9150105005107000,non-island
3,チ,0,6.9272337,non-island
3,ケ,0,0.6438525,non-island
3,ット,0,0.0010592701,non-island
3,が,0,2.488587,non-island
3,完,0,1.2769167549,non-island
3,売,0,0.0035979757,non-island
3,し,0,1.1126109,non-island
3,た,0,1.1523929,non-island
3,の,0,2.7059417,non-island
3,で,0,1.0185333,non-island
3,役,1,3.4958652,non-island
3,者,1,0.19941549,non-island
3,は,1,3.1811726,non-island
3,海,1,4.547071,non-island
3,外,1,0.12228664083375,non-island
3,に,1,1.9537705,non-island
3,招,1,1.40849727,non-island
3,待,1,0.193368835,non-island
3,さ,1,0.37381947,non-island
3,れ,1,0.0012324408,non-island
3,た,1,0.77321047,non-island
3,。,1,0.822705,non-island
4,開,0,6.2354904500000000,non-island
4,発,0,0.6561443066666670,non-island
4,し,0,5.000985,non-island
4,た,0,0.5404181,non-island
4,新,0,3.2547735700000000,non-island
4,製,0,1.9947206998785000,non-island
4,品,0,0.0005375168370000000,non-island
4,が,0,4.0585384,non-island
4,今,0,2.48084597,non-island
4,朝,0,3.0691944,non-island
4,社,0,2.0225890498166700,non-island
4,外,0,2.484882022165,non-island
4,に,0,0.64435357,non-island
4,発,0,0.9840956396666670,non-island
4,表,0,0.28760784375000000,non-island
4,さ,0,0.1265856,non-island
4,れ,0,0.0012189561,non-island
4,た,0,0.9246913,non-island
4,の,0,4.218001,non-island
4,で,0,0.15690011,non-island
4,若,1,3.4526337,non-island
4,手,1,1.470045998999,non-island
4,社,1,0.18999168382273300,non-island
4,員,1,0.001537689957366670,non-island
4,は,1,2.8120728,non-island
4,誇,1,2.5041074,non-island
4,り,1,1.2802664,non-island
4,に,1,0.39110267,non-island
4,思,1,0.00910965370902,non-island
4,っ,1,0.3950831,non-island
4,た,1,2.656978,non-island
4,。,1,1.0154022,non-island
5,デ,0,12.742895,non-island
5,ザ,0,2.4567206,non-island
5,イ,0,0.02539156,non-island
5,ン,0,0.41729593,non-island
5,し,0,4.7843165,non-island
5,た,0,0.32688662,non-island
5,ド,0,7.31051,non-island
5,レ,0,2.2996435,non-island
5,ス,0,0.011594884,non-island
5,が,0,4.187889,non-island
5,大,0,4.2510633,non-island
5,勢,0,2.2107012400000000,non-island
5,の,0,0.6662147,non-island
5,記,0,2.3925370333333300,non-island
5,者,0,0.015212471,non-island
5,に,0,0.9683238,non-island
5,取,0,1.43838564,non-island
5,材,0,0.118945288,non-island
5,さ,0,1.3998455,non-island
5,れ,0,0.0005443507,non-island
5,た,0,0.72307175,non-island
5,の,0,4.775686,non-island
5,で,0,0.42228854,non-island
5,女,1,9.566956,non-island
5,優,1,0.25503917757677300,non-island
5,は,1,4.384356,non-island
5,自,1,1.4361257570000000,non-island
5,信,1,0.8122532,non-island
5,を,1,0.6871403,non-island
5,付,1,4.1881241530000000,non-island
5,け,1,0.00961846163816,non-island
5,た,1,1.0873834,non-island
5,。,1,1.119752,non-island
6,作,0,10.153272,non-island
6,っ,0,5.5638266,non-island
6,た,0,0.6227578,non-island
6,日,0,2.4929180050000000,non-island
6,本,0,0.768829212,non-island
6,酒,0,0.6461459374233330,non-island
6,が,0,4.972091,non-island
6,先,0,3.8507937500000000,non-island
6,月,0,1.45721082,non-island
6,ガ,0,10.196987,non-island
6,イ,0,4.067966,non-island
6,ド,0,0.17721502,non-island
6,ブ,0,0.11819024,non-island
6,ック,0,0.00028866032,non-island
6,で,0,3.2208486,non-island
6,特,0,2.2262129312,non-island
6,集,0,0.04826722,non-island
6,さ,0,0.07436013,non-island
6,れ,0,0.00052902347,non-island
6,た,0,1.3315712,non-island
6,の,0,2.8504186,non-island
6,で,0,0.12297352,non-island
6,外,1,4.7743129,non-island
6,国,1,0.3439863324,non-island
6,人,1,0.26598158,non-island
6,は,1,5.170506,non-island
6,周,1,5.7505713,non-island
6,り,1,0.0921287,non-island
6,に,1,0.91845614,non-island
6,認,1,3.3548288500000000,non-island
6,め,1,0.21066527670000000,non-island
6,ら,1,0.1446831,non-island
6,れ,1,0.0015832342,non-island
6,た,1,1.142862,non-island
6,。,1,1.3586135,non-island
7,受,0,5.74491915,non-island
7,け,0,1.437792464,non-island
7,た,0,2.757268,non-island
7,難,0,5.4632309,non-island
7,病,0,0.4583473752,non-island
7,の,0,3.4694252,non-island
7,診,0,1.47603446,non-island
7,断,0,0.12645209899900000,non-island
7,が,0,3.9613008,non-island
7,今,0,3.254741625,non-island
7,朝,0,1.8455775,non-island
7,社,0,3.0593535333333300,non-island
7,内,0,0.50940793111975,non-island
7,で,0,0.6065265,non-island
7,公,0,1.01570277,non-island
7,表,0,0.06701823972030000,non-island
7,さ,0,0.072507314,non-island
7,れ,0,0.00033224377,non-island
7,た,0,1.1648178,non-island
7,の,0,4.3496003,non-island
7,で,0,0.30191243,non-island
7,重,1,5.42473143,non-island
7,役,1,2.95358158825,non-island
7,は,1,4.3622103,non-island
7,引,1,3.25812383,non-island
7,き,1,1.2159638,non-island
7,継,1,2.0156835166666700,non-island
7,ぎ,1,0.28589225000000000,non-island
7,を,1,2.2037408,non-island
7,始,1,2.7007272175,non-island
7,め,1,0.0009597338659000000,non-island
7,た,1,0.99374783,non-island
7,。,1,0.608814,non-island
8,書,0,4.401724233333330,island
8,い,0,3.0998626,island
8,た,0,1.0632612,island
8,エ,0,8.52422,island
8,ッ,0,3.6108437,island
8,セ,0,0.027412534,island
8,ー,0,2.0430136,island
8,が,0,7.1816087,island
8,権,0,3.225267066666670,island
8,威,0,0.4277002540911670,island
8,あ,0,1.8075091,island
8,る,0,0.0020782624,island
8,文,0,2.1243656350000000,island
8,学,0,1.0641446950000000,island
8,賞,0,0.8616679912333330,island
8,を,0,0.8724851,island
8,受,0,0.231101785,island
8,賞,0,0.0024850465433333300,island
8,し,0,0.55840224,island
8,た,0,0.32441452,island
8,女,1,10.524238,island
8,性,1,0.042508385,island
8,議,1,4.3143332,island
8,員,1,0.014535723072246700,island
8,は,1,1.2578658,island
8,感,1,3.0846356250000000,island
8,謝,1,1.2478428024333300,island
8,を,1,2.3460848,island
8,述,1,0.33995410485,island
8,べ,1,0.00023437764,island
8,た,1,0.6734612,island
8,。,1,0.7633878,island
9,発,0,4.102592933333330,island
9,表,0,1.333219425,island
9,し,0,3.5410793,island
9,た,0,0.5850974,island
9,論,0,1.5702964013333300,island
9,文,0,0.0019050012746,island
9,が,0,5.07826,island
9,世,0,3.2247017000000000,island
9,界,0,0.0074978404672,island
9,中,0,2.0932803,island
9,者,0,1.1852548,island
9,か,0,1.5226641,island
9,ら,0,0.0005055272,island
9,注,0,0.752789489275,island
9,目,0,0.0004453916,island
9,さ,0,1.3444278,island
9,れ,0,0.0013833805,island
9,た,0,2.3900185,island
9,教,1,4.930864650000000,island
9,授,1,0.11765869861666700,island
9,は,1,2.1694498,island
9,多,1,3.3591452,island
9,忙,1,3.6793461065,island
9,を,1,0.91719335,island
9,極,1,0.018674597,island
9,め,1,0.00018480608500000000,island
9,た,1,6.827632E-08,island
9,。,1,3.301909,island
10,購,0,4.455449366666670,island
10,入,0,0.5956231703500000,island
10,し,0,2.5675852,island
10,た,0,0.50750655,island
10,絵,0,2.8054186666666700,island
10,画,0,1.3479376386,island
10,が,0,3.8550205,island
10,ピ,0,4.34908985,island
10,カ,0,0.8190778,island
10,ソ,0,5.0287747,island
10,の,0,0.5672902,island
10,作,0,2.581173,island
10,品,0,0.0023052939408333300,island
10,だ,0,0.72730577,island
10,っ,0,0.33151737,island
10,た,0,0.0025038049,island
10,美,1,3.748159513333330,island
10,術,1,0.20464383,island
10,館,1,0.4828863758772670,island
10,長,1,1.6325496092578300,island
10,は,1,0.72947246,island
10,展,1,3.2045879,island
10,示,1,0.20571244128033300,island
10,会,1,0.856734295,island
10,を,1,1.6724068,island
10,計,1,1.6416195266666700,island
10,画,1,0.001062427,island
10,し,1,0.21659416,island
10,た,1,0.5564189,island
10,。,1,0.6402079,island
11,演,0,4.4514073666666700,island
11,じ,0,3.3067883850000000,island
11,た,0,1.8402323,island
11,芝,0,2.4267978,island
11,居,0,0.07666322866666670,island
11,が,0,3.4317431,island
11,連,0,4.6427934,island
11,日,0,1.9086672909037500,island
11,チ,0,6.920557,island
11,ケ,0,0.6377819,island
11,ット,0,0.0010549738,island
11,が,0,2.4894035,island
11,完,0,1.2802371079000000,island
11,売,0,0.00362472165,island
11,し,0,1.1080902,island
11,た,0,1.1535519,island
11,役,1,3.1031901250000000,island
11,者,1,0.5603207,island
11,は,1,2.288662,island
11,海,1,5.0657779000000000,island
11,外,1,0.32935167126700000,island
11,に,1,3.108391,island
11,招,1,2.146576876666670,island
11,待,1,0.17299345,island
11,さ,1,0.37785554,island
11,れ,1,0.0012903903,island
11,た,1,1.3491964,island
11,。,1,1.4425523,island
12,開,0,6.235596975,island
12,発,0,0.65726257,island
12,し,0,5.0032105,island
12,た,0,0.5398422,island
12,新,0,3.2557276800000000,island
12,製,0,1.9930882777550000,island
12,品,0,0.0005408011703333330,island
12,が,0,4.060995,island
12,今,0,2.480331365,island
12,朝,0,3.093614,island
12,社,0,2.0219535993,island
12,外,0,2.48528351954,island
12,に,0,0.6441773,island
12,発,0,0.983747691,island
12,表,0,0.28694994515,island
12,さ,0,0.126139,island
12,れ,0,0.0012244435,island
12,た,0,0.92399275,island
12,若,1,4.41275922,island
12,手,1,0.17729263413816,island
12,社,1,0.19787635667080000,island
12,員,1,0.0129308902433,island
12,は,1,1.6067353,island
12,誇,1,2.65309204,island
12,り,1,1.2470316,island
12,に,1,0.23438336,island
12,思,1,0.01347007,island
12,っ,1,0.39469838,island
12,た,1,1.0659885,island
12,。,1,0.63048863,island
13,デ,0,12.7427,island
13,ザ,0,2.4559014,island
13,イ,0,0.02538826,island
13,ン,0,0.41806224,island
13,し,0,4.792438,island
13,た,0,0.32355085,island
13,ド,0,7.2973785,island
13,レ,0,2.2967875,island
13,ス,0,0.011603925,island
13,が,0,4.182595,island
13,大,0,4.2439485,island
13,勢,0,2.2136633850000000,island
13,の,0,0.66739833,island
13,記,0,2.3883993,island
13,者,0,0.014871813,island
13,に,0,0.96871495,island
13,取,0,1.44135974,island
13,材,0,0.11945432,island
13,さ,0,1.4302635,island
13,れ,0,0.0005327809,island
13,た,0,0.7299263,island
13,女,1,11.037965,island
13,優,1,0.24071462770601300,island
13,は,1,2.263569,island
13,自,1,1.6237227801000000,island
13,信,1,0.9427134,island
13,を,1,1.0169996,island
13,付,1,4.8813133,island
13,け,1,0.01497729109547,island
13,た,1,0.8532872,island
13,。,1,0.94567233,island
14,作,0,10.1521435,island
14,っ,0,5.561145,island
14,た,0,0.6230781,island
14,日,0,2.4927252850000000,island
14,本,0,0.7698863885,island
14,酒,0,0.6466080392080000,island
14,が,0,4.9706144,island
14,先,0,3.8486746,island
14,月,0,1.454439452,island
14,ガ,0,10.195782,island
14,イ,0,4.0685787,island
14,ド,0,0.17778479,island
14,ブ,0,0.11907935,island
14,ック,0,0.00028901699,island
14,で,0,3.2175467,island
14,特,0,2.2269980939000000,island
14,集,0,0.048183165,island
14,さ,0,0.0745186,island
14,れ,0,0.0005325425,island
14,た,0,1.3337104,island
14,外,1,5.2863476,island
14,国,1,0.20397730935,island
14,人,1,0.12071561,island
14,は,1,4.841713,island
14,周,1,5.2538917000000000,island
14,り,1,0.29927775,island
14,に,1,0.9580551,island
14,認,1,3.1165072500000000,island
14,め,1,0.0685274731,island
14,ら,1,0.19104734,island
14,れ,1,0.0011360658,island
14,た,1,1.2819694,island
14,。,1,1.6231582,island
15,受,0,5.7350454,island
15,け,0,1.436066744,island
15,た,0,2.763567,island
15,難,0,5.4773879,island
15,病,0,0.4530559800133330,island
15,の,0,3.448728,island
15,診,0,1.4743830000000000,island
15,断,0,0.12775931399900000,island
15,が,0,3.9347255,island
15,今,0,3.25860442,island
15,朝,0,1.85138765,island
15,社,0,3.0590406,island
15,内,0,0.50676163111975,island
15,で,0,0.6074581,island
15,公,0,1.012150965,island
15,表,0,0.0679107097203,island
15,さ,0,0.07258422,island
15,れ,0,0.00032836714,island
15,た,0,1.1670152,island
15,重,1,5.837634250000000,island
15,役,1,0.1667677406,island
15,は,1,2.5546842,island
15,引,1,3.486164885,island
15,き,1,1.9278364,island
15,継,1,2.491746850666670,island
15,ぎ,1,0.14679712,island
15,を,1,2.0534542,island
15,始,1,2.8660166175,island
15,め,1,0.00078824903675,island
15,た,1,0.856158,island
15,。,1,2.1399841,island